Id,Label,Modularity Class
0,10.0.112.246,0
1,10.0.128.11,0
2,10.0.138.3,0
3,10.0.216.74,0
4,10.0.222.229,0
5,10.0.248.225,0
6,10.0.248.242,0
7,10.0.248.250,0
8,10.0.249.225,0
9,10.0.88.206,0
10,10.0.88.207,0
11,10.1.128.16,0
12,10.1.128.6,0
13,10.1.128.7,0
14,10.1.152.221,0
15,10.1.152.32,0
16,10.1.156.85,0
17,10.1.200.102,0
18,10.1.200.221,0
19,10.1.200.54,0
20,10.1.216.102,0
21,10.1.216.103,0
22,10.1.216.104,0
23,10.1.216.106,0
24,10.1.216.107,0
25,10.1.216.113,0
26,10.1.216.114,0
27,10.1.216.115,0
28,10.1.216.12,0
29,10.1.216.138,0
30,10.1.216.139,0
31,10.1.216.140,0
32,10.1.216.144,0
33,10.1.216.145,0
34,10.1.216.146,0
35,10.1.216.151,0
36,10.1.216.154,0
37,10.1.216.155,0
38,10.1.216.156,0
39,10.1.216.157,0
40,10.1.216.158,0
41,10.1.216.194,0
42,10.1.216.209,0
43,10.1.216.21,0
44,10.1.216.220,0
45,10.1.216.221,0
46,10.1.216.223,0
47,10.1.216.224,0
48,10.1.216.226,0
49,10.1.216.228,0
50,10.1.216.229,0
51,10.1.216.234,0
52,10.1.216.238,0
53,10.1.216.29,0
54,10.1.216.30,0
55,10.1.216.31,0
56,10.1.216.32,0
57,10.1.216.33,0
58,10.1.216.34,0
59,10.1.216.35,0
60,10.1.216.36,0
61,10.1.216.37,0
62,10.1.216.38,0
63,10.1.216.39,0
64,10.1.216.40,0
65,10.1.216.42,0
66,10.1.216.44,0
67,10.1.216.45,0
68,10.1.216.48,0
69,10.1.216.50,0
70,10.1.216.51,0
71,10.1.216.53,0
72,10.1.216.54,0
73,10.1.216.58,0
74,10.1.216.59,0
75,10.1.216.60,0
76,10.1.216.62,0
77,10.1.216.63,0
78,10.1.216.65,0
79,10.1.216.67,0
80,10.1.216.68,0
81,10.1.216.69,0
82,10.1.216.73,0
83,10.1.216.75,0
84,10.1.216.76,0
85,10.1.216.77,0
86,10.1.216.78,0
87,10.1.216.79,0
88,10.1.216.80,0
89,10.1.216.83,0
90,10.1.216.84,0
91,10.1.216.85,0
92,10.1.216.87,0
93,10.1.216.97,0
94,10.1.216.98,0
95,10.1.217.107,0
96,10.1.217.139,0
97,10.1.217.197,0
98,10.1.218.226,0
99,10.1.218.54,0
100,10.1.219.246,0
101,10.1.220.140,0
102,10.1.220.175,0
103,10.1.220.221,0
104,10.1.220.226,0
105,10.1.220.53,0
106,10.1.220.78,0
107,10.1.220.79,0
108,10.1.220.81,0
109,10.1.240.2,0
110,10.1.248.234,0
111,10.1.248.48,0
112,10.1.88.226,0
113,10.1.88.37,0
114,10.10.112.244,0
115,10.10.112.246,0
116,10.10.112.247,0
117,10.10.112.26,0
118,10.10.218.214,0
119,10.10.248.242,0
120,10.10.249.221,0
121,10.10.249.225,0
122,10.10.48.26,0
123,10.10.88.206,0
124,10.10.88.207,0
125,10.100.138.3,0
126,10.100.217.221,0
127,10.100.69.8,0
128,10.101.216.103,0
129,10.101.216.145,0
130,10.101.216.147,0
131,10.101.216.156,0
132,10.101.216.221,0
133,10.101.89.221,0
134,10.101.92.229,0
135,10.102.128.206,0
136,10.102.128.207,0
137,10.102.200.221,0
138,10.102.216.217,0
139,10.102.216.220,0
140,10.102.216.221,0
141,10.102.216.247,0
142,10.102.218.221,0
143,10.102.88.221,0
144,10.103.216.221,0
145,10.103.216.226,0
146,10.103.216.247,0
147,10.103.220.118,0
148,10.103.220.139,0
149,10.103.220.141,0
150,10.103.220.142,0
151,10.103.220.143,0
152,10.103.220.16,0
153,10.103.220.229,0
154,10.103.220.237,0
155,10.103.220.29,0
156,10.103.220.4,0
157,10.103.220.45,0
158,10.103.220.77,0
159,10.103.223.174,0
160,10.103.248.247,0
161,10.103.254.205,0
162,10.104.216.221,0
163,10.105.216.140,0
164,10.105.216.145,0
165,10.105.216.221,0
166,10.105.216.51,0
167,10.105.219.246,0
168,10.105.220.42,0
169,10.106.129.6,0
170,10.106.129.8,0
171,10.106.129.9,0
172,10.106.152.17,0
173,10.106.153.152,0
174,10.106.153.156,0
175,10.106.153.30,0
176,10.106.153.54,0
177,10.106.155.65,0
178,10.106.159.5,0
179,10.106.159.6,0
180,10.106.192.1,0
181,10.106.192.23,0
182,10.106.192.25,0
183,10.106.192.5,0
184,10.106.193.101,0
185,10.106.193.244,0
186,10.106.193.34,0
187,10.106.218.221,0
188,10.106.220.230,0
189,10.107.104.55,0
190,10.107.104.99,0
191,10.107.130.32,0
192,10.107.130.33,0
193,10.107.130.35,0
194,10.107.130.36,0
195,10.107.156.17,0
196,10.107.193.5,0
197,10.107.193.7,0
198,10.107.193.8,0
199,10.107.194.246,0
200,10.107.194.250,0
201,10.107.200.1,0
202,10.107.200.101,0
203,10.107.200.158,0
204,10.107.200.160,0
205,10.107.200.181,0
206,10.107.200.184,0
207,10.107.200.193,0
208,10.107.200.21,0
209,10.107.202.94,0
210,10.107.204.221,0
211,10.107.204.222,0
212,10.107.216.221,0
213,10.107.220.178,0
214,10.107.220.229,0
215,10.107.220.42,0
216,10.107.220.88,0
217,10.107.222.221,0
218,10.107.224.55,0
219,10.107.33.3,0
220,10.107.35.11,0
221,10.107.41.18,0
222,10.107.41.19,0
223,10.107.49.228,0
224,10.107.49.229,0
225,10.107.50.23,0
226,10.107.50.25,0
227,10.107.78.6,0
228,10.107.82.120,0
229,10.107.82.22,0
230,10.107.82.55,0
231,10.107.82.65,0
232,10.107.82.94,0
233,10.107.83.22,0
234,10.107.83.4,0
235,10.107.84.12,0
236,10.107.84.222,0
237,10.107.84.4,0
238,10.107.86.2,0
239,10.107.88.2,0
240,10.107.88.3,0
241,10.107.88.39,0
242,10.107.92.101,0
243,10.11.204.27,0
244,10.11.220.170,0
245,10.11.220.24,0
246,10.11.220.9,0
247,10.11.220.96,0
248,10.11.240.2,0
249,10.11.88.206,0
250,10.110.112.230,0
251,10.110.112.78,0
252,10.110.216.221,0
253,10.110.236.221,0
254,10.111.216.247,0
255,10.111.88.2,0
256,10.112.138.3,0
257,10.112.153.221,0
258,10.112.154.221,0
259,10.112.202.221,0
260,10.112.210.221,0
261,10.112.216.221,0
262,10.112.216.224,0
263,10.112.217.221,0
264,10.112.218.221,0
265,10.112.219.221,0
266,10.112.249.221,0
267,10.112.250.221,0
268,10.112.91.221,0
269,10.113.140.230,0
270,10.113.211.254,0
271,10.113.212.178,0
272,10.113.216.106,0
273,10.113.216.144,0
274,10.113.216.221,0
275,10.113.216.226,0
276,10.113.218.55,0
277,10.114.112.201,0
278,10.114.112.246,0
279,10.114.112.247,0
280,10.114.112.26,0
281,10.114.122.221,0
282,10.114.128.207,0
283,10.114.144.206,0
284,10.114.152.221,0
285,10.114.154.213,0
286,10.114.154.221,0
287,10.114.155.221,0
288,10.114.186.221,0
289,10.114.200.221,0
290,10.114.202.221,0
291,10.114.208.221,0
292,10.114.210.221,0
293,10.114.211.221,0
294,10.114.216.102,0
295,10.114.216.104,0
296,10.114.216.119,0
297,10.114.216.128,0
298,10.114.216.130,0
299,10.114.216.135,0
300,10.114.216.14,0
301,10.114.216.140,0
302,10.114.216.144,0
303,10.114.216.156,0
304,10.114.216.157,0
305,10.114.216.158,0
306,10.114.216.161,0
307,10.114.216.162,0
308,10.114.216.163,0
309,10.114.216.180,0
310,10.114.216.182,0
311,10.114.216.188,0
312,10.114.216.189,0
313,10.114.216.192,0
314,10.114.216.202,0
315,10.114.216.213,0
316,10.114.216.215,0
317,10.114.216.217,0
318,10.114.216.22,0
319,10.114.216.220,0
320,10.114.216.221,0
321,10.114.216.223,0
322,10.114.216.224,0
323,10.114.216.225,0
324,10.114.216.226,0
325,10.114.216.228,0
326,10.114.216.232,0
327,10.114.216.40,0
328,10.114.216.42,0
329,10.114.216.51,0
330,10.114.216.57,0
331,10.114.216.60,0
332,10.114.216.77,0
333,10.114.216.96,0
334,10.114.216.97,0
335,10.114.218.205,0
336,10.114.218.212,0
337,10.114.218.213,0
338,10.114.218.215,0
339,10.114.218.217,0
340,10.114.218.220,0
341,10.114.218.221,0
342,10.114.218.223,0
343,10.114.218.253,0
344,10.114.219.205,0
345,10.114.219.213,0
346,10.114.219.220,0
347,10.114.219.221,0
348,10.114.222.221,0
349,10.114.240.26,0
350,10.114.248.224,0
351,10.114.250.213,0
352,10.114.250.221,0
353,10.114.251.205,0
354,10.114.251.221,0
355,10.114.252.109,0
356,10.114.26.221,0
357,10.114.72.224,0
358,10.114.74.221,0
359,10.114.88.221,0
360,10.114.88.224,0
361,10.114.90.221,0
362,10.114.91.221,0
363,10.115.156.229,0
364,10.115.216.221,0
365,10.115.216.224,0
366,10.115.218.221,0
367,10.115.219.221,0
368,10.115.220.102,0
369,10.115.220.117,0
370,10.115.220.15,0
371,10.115.220.154,0
372,10.115.220.223,0
373,10.115.220.229,0
374,10.115.220.49,0
375,10.115.220.56,0
376,10.115.220.94,0
377,10.115.220.98,0
378,10.115.232.221,0
379,10.115.90.221,0
380,10.116.128.207,0
381,10.116.129.219,0
382,10.116.138.19,0
383,10.116.138.191,0
384,10.116.138.21,0
385,10.116.138.3,0
386,10.116.139.3,0
387,10.116.140.211,0
388,10.116.140.213,0
389,10.116.140.227,0
390,10.116.140.228,0
391,10.116.140.229,0
392,10.116.140.231,0
393,10.116.140.240,0
394,10.116.140.244,0
395,10.116.142.3,0
396,10.116.148.103,0
397,10.116.153.205,0
398,10.116.153.221,0
399,10.116.156.35,0
400,10.116.178.7,0
401,10.116.201.221,0
402,10.116.204.189,0
403,10.116.206.132,0
404,10.116.208.221,0
405,10.116.209.221,0
406,10.116.216.221,0
407,10.116.217.205,0
408,10.116.217.213,0
409,10.116.217.217,0
410,10.116.217.219,0
411,10.116.217.220,0
412,10.116.217.221,0
413,10.116.217.223,0
414,10.116.218.221,0
415,10.116.240.249,0
416,10.116.249.221,0
417,10.116.88.221,0
418,10.116.89.221,0
419,10.117.126.204,0
420,10.117.126.220,0
421,10.117.128.207,0
422,10.117.140.228,0
423,10.117.158.246,0
424,10.117.158.247,0
425,10.117.216.131,0
426,10.117.217.213,0
427,10.117.217.221,0
428,10.117.249.221,0
429,10.117.43.201,0
430,10.118.0.206,0
431,10.118.128.199,0
432,10.118.128.206,0
433,10.118.128.207,0
434,10.118.128.222,0
435,10.118.128.239,0
436,10.118.128.241,0
437,10.118.136.207,0
438,10.118.136.221,0
439,10.118.138.3,0
440,10.118.144.203,0
441,10.118.144.207,0
442,10.118.144.215,0
443,10.118.144.221,0
444,10.118.144.230,0
445,10.118.144.233,0
446,10.118.144.243,0
447,10.118.152.221,0
448,10.118.154.221,0
449,10.118.157.230,0
450,10.118.16.207,0
451,10.118.160.206,0
452,10.118.160.207,0
453,10.118.176.155,0
454,10.118.192.206,0
455,10.118.200.221,0
456,10.118.208.221,0
457,10.118.211.221,0
458,10.118.216.201,0
459,10.118.216.204,0
460,10.118.216.205,0
461,10.118.216.209,0
462,10.118.216.213,0
463,10.118.216.217,0
464,10.118.216.220,0
465,10.118.216.221,0
466,10.118.216.223,0
467,10.118.216.224,0
468,10.118.216.253,0
469,10.118.217.221,0
470,10.118.218.221,0
471,10.118.218.223,0
472,10.118.219.221,0
473,10.118.240.153,0
474,10.118.240.159,0
475,10.118.240.25,0
476,10.118.244.153,0
477,10.118.248.221,0
478,10.118.88.221,0
479,10.118.89.221,0
480,10.119.128.206,0
481,10.119.160.206,0
482,10.119.216.220,0
483,10.119.216.221,0
484,10.12.112.26,0
485,10.12.248.253,0
486,10.12.88.206,0
487,10.12.88.207,0
488,10.120.217.217,0
489,10.120.217.221,0
490,10.120.248.242,0
491,10.120.248.253,0
492,10.120.249.225,0
493,10.120.88.206,0
494,10.120.88.207,0
495,10.121.88.206,0
496,10.122.112.246,0
497,10.122.144.124,0
498,10.122.144.169,0
499,10.122.144.4,0
500,10.122.146.130,0
501,10.122.146.152,0
502,10.122.146.77,0
503,10.122.146.78,0
504,10.122.146.79,0
505,10.122.148.114,0
506,10.122.148.157,0
507,10.122.150.243,0
508,10.122.152.15,0
509,10.122.157.112,0
510,10.122.157.222,0
511,10.122.167.14,0
512,10.122.167.15,0
513,10.122.167.25,0
514,10.122.167.35,0
515,10.122.168.125,0
516,10.122.168.217,0
517,10.122.170.12,0
518,10.122.170.55,0
519,10.122.192.103,0
520,10.122.197.215,0
521,10.122.202.221,0
522,10.122.210.221,0
523,10.122.216.224,0
524,10.122.218.221,0
525,10.122.219.221,0
526,10.122.248.237,0
527,10.122.81.13,0
528,10.122.81.14,0
529,10.122.81.15,0
530,10.122.81.16,0
531,10.122.81.17,0
532,10.122.81.29,0
533,10.122.81.35,0
534,10.122.83.109,0
535,10.122.83.15,0
536,10.122.83.40,0
537,10.122.83.53,0
538,10.122.83.9,0
539,10.122.84.23,0
540,10.123.112.61,0
541,10.123.112.74,0
542,10.123.112.91,0
543,10.123.112.93,0
544,10.123.112.95,0
545,10.123.112.97,0
546,10.123.112.99,0
547,10.123.129.10,0
548,10.123.129.11,0
549,10.123.129.17,0
550,10.123.129.7,0
551,10.123.192.241,0
552,10.123.216.224,0
553,10.123.218.221,0
554,10.123.220.22,0
555,10.123.33.3,0
556,10.123.82.17,0
557,10.123.89.200,0
558,10.124.217.221,0
559,10.124.248.242,0
560,10.126.128.206,0
561,10.126.128.207,0
562,10.126.152.221,0
563,10.126.216.221,0
564,10.126.218.221,0
565,10.126.236.221,0
566,10.126.240.153,0
567,10.127.216.221,0
568,10.128.216.226,0
569,10.129.216.220,0
570,10.129.216.221,0
571,10.129.216.226,0
572,10.129.216.60,0
573,10.129.216.96,0
574,10.129.216.97,0
575,10.129.88.207,0
576,10.129.88.221,0
577,10.130.112.246,0
578,10.130.112.247,0
579,10.130.216.220,0
580,10.130.216.221,0
581,10.130.218.221,0
582,10.130.248.221,0
583,10.131.216.221,0
584,10.131.216.229,0
585,10.131.216.59,0
586,10.131.220.106,0
587,10.131.220.128,0
588,10.131.220.131,0
589,10.131.220.173,0
590,10.131.220.176,0
591,10.131.220.221,0
592,10.131.220.225,0
593,10.131.220.229,0
594,10.131.220.25,0
595,10.131.220.28,0
596,10.131.220.42,0
597,10.131.220.53,0
598,10.131.220.59,0
599,10.131.220.66,0
600,10.131.88.221,0
601,10.131.92.108,0
602,10.133.216.221,0
603,10.134.216.221,0
604,10.135.204.58,0
605,10.136.248.242,0
606,10.136.248.250,0
607,10.136.248.253,0
608,10.136.249.225,0
609,10.136.88.206,0
610,10.136.88.207,0
611,10.137.216.221,0
612,10.137.248.253,0
613,10.137.248.59,0
614,10.137.88.96,0
615,10.138.216.221,0
616,10.14.105.246,0
617,10.14.112.72,0
618,10.14.112.77,0
619,10.14.112.78,0
620,10.14.112.80,0
621,10.14.112.99,0
622,10.14.172.221,0
623,10.14.232.221,0
624,10.14.236.221,0
625,10.14.236.253,0
626,10.14.237.217,0
627,10.14.88.206,0
628,10.144.112.246,0
629,10.144.112.247,0
630,10.144.152.221,0
631,10.144.200.221,0
632,10.144.208.221,0
633,10.144.216.213,0
634,10.144.216.220,0
635,10.144.216.221,0
636,10.144.248.221,0
637,10.144.248.242,0
638,10.144.249.225,0
639,10.144.88.206,0
640,10.144.88.207,0
641,10.144.88.221,0
642,10.145.152.221,0
643,10.145.184.221,0
644,10.145.200.221,0
645,10.145.208.213,0
646,10.145.208.221,0
647,10.145.216.205,0
648,10.145.216.213,0
649,10.145.216.217,0
650,10.145.216.220,0
651,10.145.216.221,0
652,10.145.216.222,0
653,10.145.216.223,0
654,10.145.216.253,0
655,10.145.216.93,0
656,10.145.218.221,0
657,10.145.220.221,0
658,10.145.232.221,0
659,10.145.24.221,0
660,10.145.240.249,0
661,10.145.240.251,0
662,10.145.244.249,0
663,10.145.248.221,0
664,10.145.88.221,0
665,10.145.88.223,0
666,10.146.112.201,0
667,10.146.112.230,0
668,10.146.112.242,0
669,10.146.112.244,0
670,10.146.112.246,0
671,10.146.112.247,0
672,10.146.112.26,0
673,10.146.114.233,0
674,10.146.120.26,0
675,10.146.144.221,0
676,10.146.152.213,0
677,10.146.152.217,0
678,10.146.152.221,0
679,10.146.176.246,0
680,10.146.184.221,0
681,10.146.200.205,0
682,10.146.200.213,0
683,10.146.200.221,0
684,10.146.208.221,0
685,10.146.216.205,0
686,10.146.216.209,0
687,10.146.216.212,0
688,10.146.216.213,0
689,10.146.216.217,0
690,10.146.216.220,0
691,10.146.216.221,0
692,10.146.216.222,0
693,10.146.216.223,0
694,10.146.216.253,0
695,10.146.216.255,0
696,10.146.217.221,0
697,10.146.218.217,0
698,10.146.218.221,0
699,10.146.224.246,0
700,10.146.232.221,0
701,10.146.24.217,0
702,10.146.24.221,0
703,10.146.240.246,0
704,10.146.248.221,0
705,10.146.48.242,0
706,10.146.48.246,0
707,10.146.80.240,0
708,10.146.80.246,0
709,10.146.80.247,0
710,10.146.88.221,0
711,10.147.112.246,0
712,10.147.216.213,0
