Id,Label,Modularity Class
0,10.52.128.2,0
1,10.52.140.75,0
2,10.24.128.230,0
3,10.67.220.229,0
4,10.67.220.61,0
5,10.65.216.39,0
6,10.65.216.43,0
7,10.65.216.33,0
8,10.67.220.223,0
9,10.65.216.21,0
10,10.67.220.60,0
11,10.67.220.27,0
12,10.67.220.31,0
13,10.67.220.248,0
14,10.67.220.221,0
15,10.65.216.172,0
16,10.65.216.221,0
17,10.67.220.18,0
18,10.67.220.23,0
19,10.65.216.87,0
20,10.52.140.228,0
21,10.52.140.74,0
22,10.67.220.144,0
23,10.67.220.64,0
24,10.65.216.144,0
25,10.67.220.33,0
26,10.67.220.122,0
27,10.65.128.1,0
28,10.67.220.30,0
29,10.65.216.171,0
30,10.67.220.227,0
31,10.67.220.142,0
32,10.67.220.154,0
33,10.65.216.137,0
34,10.67.220.48,0
35,10.52.169.190,0
36,10.67.220.14,0
37,10.67.220.225,0
38,10.32.11.205,0
39,10.24.249.227,0
40,10.65.216.40,0
41,10.67.220.228,0
42,10.65.216.174,0
43,10.67.220.32,0
44,10.65.128.25,0
45,10.67.220.79,0
46,10.67.220.155,0
47,10.67.220.104,0
48,10.52.138.3,0
49,10.65.216.38,0
50,10.67.220.17,0
51,10.65.216.145,0
52,10.67.220.146,0
53,10.67.220.71,0
54,10.67.220.150,0
55,10.67.220.13,0
56,10.24.249.221,0
57,10.65.216.30,0
58,10.67.220.22,0
59,10.65.217.174,0
60,10.67.216.174,0
61,10.65.216.76,0
62,10.65.216.190,0
63,10.65.216.146,0
64,10.67.220.56,0
65,10.69.216.174,0
66,10.73.216.182,0
67,26.33.216.174,0
68,10.65.216.229,0
69,10.67.220.108,0
70,10.65.128.9,0
71,10.65.216.53,0
72,10.20.11.188,0
73,10.52.140.211,0
74,10.67.220.222,0
75,10.67.220.62,0
76,10.67.220.49,0
77,10.67.220.101,0
78,10.65.216.107,0
79,10.67.220.15,0
80,10.65.216.220,0
81,10.67.220.28,0
82,10.67.220.58,0
83,10.67.220.42,0
84,10.67.220.50,0
85,10.65.128.21,0
86,10.65.128.5,0
87,10.52.140.212,0
88,10.52.140.210,0
89,10.52.140.229,0
90,10.52.204.174,0
91,10.52.148.110,0
92,10.52.189.138,0
93,10.52.178.8,0
94,10.52.156.36,0
95,10.52.128.14,0
96,10.52.140.240,0
97,10.67.220.12,0
98,10.67.220.140,0
99,10.67.220.74,0
100,10.67.220.20,0
101,10.65.128.7,0
102,10.65.216.50,0
103,10.67.220.106,0
104,10.52.156.35,0
105,10.67.220.83,0
106,10.52.189.137,0
107,10.52.140.239,0
108,10.52.204.189,0
109,10.52.138.193,0
110,10.52.148.131,0
111,10.52.128.13,0
112,10.52.140.213,0
113,10.52.178.7,0
114,10.52.138.191,0
115,10.52.148.103,0
116,10.67.220.35,0
117,10.67.220.160,0
118,10.67.220.178,0
119,10.67.220.143,0
120,10.52.140.231,0
121,10.65.216.101,0
122,10.65.216.63,0
123,10.67.220.110,0
124,10.65.128.27,0
125,10.52.140.226,0
126,10.67.220.41,0
127,10.24.249.230,0
128,10.24.249.125,0
129,10.52.176.250,0
130,10.67.220.119,0
131,10.67.220.86,0
132,10.67.220.93,0
133,10.65.128.15,0
134,10.67.220.19,0
135,10.65.216.75,0
136,10.67.220.16,0
137,10.67.220.102,0
138,10.65.216.51,0
139,10.67.220.135,0
140,10.67.220.141,0
141,10.67.220.136,0
142,10.67.220.52,0
143,10.65.216.44,0
144,10.67.220.29,0
145,10.54.240.153,0
146,10.52.140.227,0
147,10.67.240.2,0
148,10.67.220.118,0
149,10.67.220.164,0
150,10.67.220.109,0
151,10.65.216.34,0
152,10.67.220.96,0
153,10.52.140.243,0
154,10.65.216.173,0
155,10.67.220.152,0
156,10.67.220.175,0
157,10.52.140.244,0
158,10.67.220.57,0
159,10.65.216.103,0
160,10.67.220.7,0
161,10.67.220.173,0
162,10.67.220.25,0
163,10.16.249.221,0
164,10.65.128.29,0
165,10.67.220.44,0
166,10.67.220.94,0
167,10.67.220.230,0
168,10.67.220.26,0
169,10.67.220.51,0
170,10.67.220.145,0
171,10.65.216.79,0
172,10.67.220.128,0
173,10.67.220.231,0
174,10.65.216.139,0
175,10.67.220.43,0
176,10.65.216.140,0
177,10.52.140.230,0
178,10.67.220.55,0
179,10.52.176.2,0
180,10.65.128.11,0
181,10.67.220.103,0
182,10.67.220.53,0
183,10.65.128.23,0
184,10.65.216.97,0
185,10.67.220.177,0
186,10.24.249.229,0
187,14.82.220.221,0
188,10.83.220.30,0
189,2.65.220.221,0
190,10.67.220.245,0
191,10.67.220.213,0
192,14.67.220.14,0
193,10.67.220.151,0
194,42.67.220.0,0
195,10.67.252.221,0
196,2.67.220.229,0
